ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Feature_IDs,Glottolog_Languoid_Level,Family,Speaker_Area
aben1248,A'beng,,,,aben1248,,126,dialect,Sino-Tibetan,dialects
achi1255,A'chick,,,,achi1255,,122,dialect,Sino-Tibetan,dialects
avan1234,Avankari Hindko,,,,avan1234,,77,dialect,Indo-European,dialects
badh1238,Badhani,,,,badh1238,,9,dialect,Indo-European,dialects
bagh1249,Baghati,,31.194,77.0471,bagh1249,,102,dialect,Indo-European,dialects
baha1254,Bahawalpuri,,,,baha1254,,83,dialect,Indo-European,dialects
bath1239,Rathi (Panjabi),,,,bath1239,,186,dialect,Indo-European,dialects
bhat1264,Bhattiyani,,,,bhat1264,,187,dialect,Indo-European,dialects
brij1240,Brijia,,,,brij1240,,90,dialect,Austroasiatic,dialects
cent2408,Central Siraiki,,,,cent2408,,82,dialect,Indo-European,dialects
chak1268,Chakroma,,,,chak1268,,151,dialect,Sino-Tibetan,dialects
chib1247,Chibhali,,,,chib1247,,75,dialect,Indo-European,dialects
dess1238,Dessaulya,,,,dess1238,,10,dialect,Indo-European,dialects
doab1238,Doabi,,,,doab1238,,183,dialect,Indo-European,dialects
gaho1238,Gahore,,,,gaho1238,,197,dialect,Indo-European,dialects
gheb1234,Ghebi,,,,gheb1234,,78,dialect,Indo-European,dialects
inne1243,Inner Siraji,,,,inne1243,,105,dialect,Indo-European,dialects
karm1240,Karmali,,,,karm1240,,91,dialect,Austroasiatic,dialects
kish1245,Kishtwari,,,,kish1245,,29,dialect,Indo-European,dialects
kiun1241,Kiunthali,,,,kiun1241,,103,dialect,Indo-European,dialects
kllu1238,Kullui,,,,kllu1238,,106,dialect,Indo-European,dialects
lohb1238,Lohbya,,,,lohb1238,,12,dialect,Indo-European,dialects
lowe1245,Lower Mahasu Pahari,,,,lowe1245,,102 103,dialect,Indo-European,dialects
majh1251,Majh-Kumaiya,,,,majh1251,,8,dialect,Indo-European,dialects
majh1252,Majhi (Panjabi),,,,majh1252,,182,dialect,Indo-European,dialects
malw1235,Malwa,,,,malw1235,,184,dialect,Indo-European,dialects
mech1238,Mech,,,,mech1238,,127,dialect,Sino-Tibetan,dialects
mult1243,Multani,,,,mult1243,,82,dialect,Indo-European,dialects
nagp1247,Nagpuriya,,,,nagp1247,,11,dialect,Indo-European,dialects
nort2656,Northern Standard Bhojpuri,,,,nort2656,,2,dialect,Indo-European,dialects
pada1256,Padari,,,,pada1256,,114,dialect,Indo-European,dialects
paha1252,Pahari,,,,paha1252,,73,dialect,Indo-European,dialects
pogu1238,Poguli,,,,pogu1238,,30,dialect,Indo-European,dialects
poth1238,Pothwari,,,,poth1238,,72,dialect,Indo-European,dialects
powa1244,Powadhi,,,,powa1244,,185,dialect,Indo-European,dialects
punc1240,Punchic,,,,punc1240,,74,dialect,Indo-European,dialects
rath1241,Rathi,,,,rath1241,,16,dialect,Indo-European,dialects
sala1263,Salani,,,,sala1263,,13,dialect,Indo-European,dialects
sout2661,Southern Standard Bhojpuri,,,,sout2661,,4,dialect,Indo-European,dialects
srin1238,Srinagaria,,,,srin1238,,14,dialect,Indo-European,dialects
stan1302,Standard Assamese,,,,stan1302,,200,dialect,Indo-European,dialects
surg1246,Surgujia,,,,surg1246,,199,dialect,Indo-European,dialects
tehr1243,Tehri,,,,tehr1243,,15,dialect,Indo-European,dialects
teng1262,Tengima,,,,teng1262,,156,dialect,Sino-Tibetan,dialects
thal1241,Thali,,,,thal1241,,81,dialect,Indo-European,dialects
thar1281,Thareli,,,,thar1281,,97,dialect,Indo-European,dialects
