id,name,glottocode,year,map_name_full
1,Bhojpuri,bhoj1244,1903,vol V part II map I
2,Northern Standard Bhojpuri,nort2656,1903,vol V part II map I
3,Western Standard Bhojpuri,west2379,1903,vol V part II map I
4,Southern Standard Bhojpuri,sout2661,1903,vol V part II map I
5,Maithili,mait1250,1903,vol V part II map I
6,Magahi,maga1260,1903,vol V part II map I
7,Magahi,maga1260,1903,vol V part II map I
8,Garhwali,garh1243,1903,vol IX part IV map I
9,Majh-Kumaiya,majh1251,1903,vol IX part IV map I
10,Badhani,badh1238,1903,vol IX part IV map I
11,Dasauiya,dess1238,1903,vol IX part IV map I
12,Nagpurija,nagp1247,1903,vol IX part IV map I
13,Lohbya,lohb1238,1903,vol IX part IV map I
14,Salani,sala1263,1903,vol IX part IV map I
15,Srinagariya,srin1238,1903,vol IX part IV map I
16,Tehri,tehr1243,1903,vol IX part IV map I
17,Rathi,rath1241,1903,vol IX part IV map I
18,Kumauni,kuma1273,1903,vol IX part IV map I
19,Bengali (Western Dialect),beng1280,1903,vol V part II map II
20,Mal-Paharia,malp1246,1903,vol V part II map II
21,Bihari,bhoj1244,1903,vol V part II map II
22,Kanauji,kana1281,1903,vol IX part I map I
23,Braj Bhakha,braj1242,1903,vol IX part I map I
24,Bangaru,hary1238,1903,vol IX part I map I
25,Vernacular Hindostani,hind1269,1903,vol IX part I map I
26,Bundeli,bund1253,1903,vol IX part I map I
27,"Varhadi, Nagpuri, Desi, Konkan Standard",mode1268,1903,vol VII map I
28,Halbi,halb1244,1903,vol VII map I
29,Kashmiri,kash1277,1903,vol VIII part II map II
30,Kashtawari,kish1245,1903,vol VIII part II map II
31,Poguli,pogu1238,1903,vol VIII part II map II
32,North Assam Branch,,1903,vol I map V
33,Lolo Group,lolo1267,1903,vol I map V
34,Burma Group,nucl1310,1903,vol I map V
35,East Tibetan,east2771,1903,vol I map V
36,Naga Group,aoic1235,1903,vol I map V
37,Naga Group,aoic1235,1903,vol I map V
38,Kuki-Chin Group,kuki1246,1903,vol I map V
39,Bara Group,boro1284,1903,vol I map V
40,Bara Group,boro1284,1903,vol I map V
41,Bara Group,boro1284,1903,vol I map V
42,Kachin Group,kach1280,1903,vol I map V
43,Bara Group,boro1284,1903,vol I map V
44,Himalayan Group,hima1249,1903,vol I map V
45,Bara Group,boro1284,1903,vol I map V
46,Central Tibetan,cent2346,1903,vol I map V
47,West Tibetan,laha1255,1903,vol I map V
48,Kachin (fringe area),kach1280,1903,vol III part II map (iii)
49,Kachin,kach1280,1903,vol III part II map (iii)
50,Khamti,kham1290,1903,vol III part II map (iii)
51,Khamti,kham1290,1903,vol III part II map (iii)
52,Khas-Kura,east1436,1903,vol I map IX
53,Rajasthani,raja1256,1903,vol I map IX
54,Panjabi,panj1256,1903,vol I map IX
55,Central Pahari,cent1977,1903,vol I map IX
56,Western Pahari,cent1977,1903,vol I map IX
57,Western Hindi,west2812,1903,vol I map IX
58,Bhili,bhil1251,1903,vol I map IX
59,Gujarati,guja1252,1903,vol I map IX
60,Eastern Hindi,east2726,1903,vol I map IX
61,Bengali,beng1280,1903,vol I map IX
62,Assamese,assa1263,1903,vol I map IX
63,Oriya,oriy1255,1903,vol I map IX
64,Bihari,bhoj1244,1903,vol I map IX
65,Marathi,mara1378,1903,vol I map IX
66,Lahnda,west2386,1903,vol I map IX
67,Sindhi,sind1272,1903,vol I map IX
68,Standard Marwari,marw1260,1903,vol IX part II map I
69,Godwari,godw1241,1903,vol IX part II map I
70,Mewari,mewa1249,1903,vol IX part II map I
