dir,NAME,FAMCODE,SUBGRPCD,LANGCODE,DIALCODE,Glottocode,LSI_ID
dardic,Where Dardic influence is still prominent,,dard,,,,
dardic,Where Dardic languages are now spoken (at time of map creation),,dard,,,,
Relative,Juang,ausa,mund,jun,,juan1238,
Relative,Khassi,ausa,mkhm,kha,,khas1269,
Relative,Kherwari,ausa,"kher, mund",,,kher1245,
Relative,Kurku,ausa,mund,kfq,,kork1243,
Relative,Mon,ausa,mkhm,mnw,,monn1252,
Relative,Rangkas,tbur,hims,rgk,,rang1266,
Relative,"Rangkas, Darmya, Byangsi, Chaudangsi",tbur,hims,"rgk, drd, bee, cdn",,pith1234,
Relative,Savara,ausa,mund,srb,,sora1254,
AusaHims,Kharia,ausa,smun,khr,,khar1287,
AusaHims,Khasi,ausa,khas,kha,,khas1269,
AusaHims,Mon,ausa,moni,mnw,,monn1252,
AusaHims,Munda,ausa,mund,unx,,mund1320,
AusaHims,Rangkas,tbur,hims,rgk,,rang1266,
Dravidian,Brahui,drav,ndrv,brh,,brah1256,
Dravidian,Gondi,drav,gond,gno,,nort2702,
Dravidian,Kanarese,drav,kann,kan,,nucl1305,
Dravidian,Kolami,drav,,kfb,,nort2699,
Dravidian,Kui,drav,kuik,kxu,,kuii1252,
Dravidian,Kurukh,drav,,kru,,kuru1301,
Dravidian,Maito,drav,ndrv,mjt,,saur1249,
Dravidian,Malayalam,drav,malm,mal,,mala1464,
Dravidian,Tamil,drav,taml,tam,,tami1289,
Dravidian,Telugu,drav,telu,tel,,telu1262,
Dravidian,Toda-Kota,drav,todk,"tcx, kfe",,tami1292,
Dravidian,Tulu,drav,tulu,tcy,,tulu1258,
Assamese,Standard Assamese,inda,beas,asm,asm-sta,stan1302,ASSAMESE
Assamese,Western,inda,beas,asm,asm-wes,west2383,ASSAMESE
Munda,Birhar,ausa,"munr, mund",biy,,birh1242,
Munda,Brijia,mund,ausa,asr,asr-bri,brij1240,
Munda,Juang,ausa,mund,jun,,juan1238,
Munda,Karmali,ausa,"sant, mund",sat,sat-kar,karm1240,KHERWARI_SANTHALI
Munda,Kharia,ausa,mund,khr,,khar1287,
Munda,Korwa,ausa,"munr, mund",kfp,,korw1242,
Munda,Kurku,ausa,"kork, mund",kfq,,kork1243,
Munda,Mundari,ausa,"munr, mund",unr,,mund1320,
Munda,Santali,ausa,"sant, mund",sat,,sant1410,
Munda,Savara,ausa,mund,srb,,sora1254,
IndoAryan,Assamese,inda,beas,asm,,assa1263,
IndoAryan,Bengali,inda,beas,ben,,beng1280,
IndoAryan,Bhili,inda,bhil,bhb,,bhil1251,
IndoAryan,Bihari,inda,biha,bho,,bhoj1244,
IndoAryan,Central Pahari,inda,cpah,,,cent1977,
IndoAryan,Eastern Hindi,inda,iaec,,,east2726,
IndoAryan,Gujarati,inda,guja,guj,,guja1252,
IndoAryan,Khas-Kura,inda,epah,nep,,east1436,
IndoAryan,Lahnda,inda,lahn,pnb,,west2386,
IndoAryan,Marathi,inda,iasz,mar,,mara1378,
IndoAryan,Oriya,inda,oriy,ori,,oriy1255,ORIYA
IndoAryan,Panjabi,inda,panj,pan,,panj1256,
IndoAryan,Rajasthani,inda,raja,mve,,marw1256,
